url,type,exists_in_build,http_expected,index_expected,in_sitemap,robots_index,robots_follow,canonical,canonical_self_referential,redirect_target,internal_links_in,content_score,quality_flags,recommended_state,notes
https://www.kronosolopromocionales.com/,commercial,true,200,true,true,true,true,https://www.kronosolopromocionales.com/,true,,69,,,A_INDEXABLE,
https://www.kronosolopromocionales.com/contacto/,commercial,true,200,true,true,true,true,https://www.kronosolopromocionales.com/contacto/,true,,3,,,A_INDEXABLE,
https://www.kronosolopromocionales.com/nosotros/,legal,true,200,true,true,true,true,https://www.kronosolopromocionales.com/nosotros/,true,,1,,,A_INDEXABLE,
https://www.kronosolopromocionales.com/blog/,commercial,true,200,true,true,true,true,https://www.kronosolopromocionales.com/blog/,true,,3,,,A_INDEXABLE,
https://www.kronosolopromocionales.com/catalogos-digitales/,commercial,true,200,true,true,true,true,https://www.kronosolopromocionales.com/catalogos-digitales/,true,,4,,,A_INDEXABLE,
https://www.kronosolopromocionales.com/politica-de-privacidad/,legal,true,200,true,true,true,true,https://www.kronosolopromocionales.com/politica-de-privacidad/,true,,0,,,A_INDEXABLE,
https://www.kronosolopromocionales.com/productos-promocionales-ecuador/,commercial,true,200,true,true,true,true,https://www.kronosolopromocionales.com/productos-promocionales-ecuador/,true,,3,,,A_INDEXABLE,
https://www.kronosolopromocionales.com/regalos-corporativos/,commercial,true,200,true,true,true,true,https://www.kronosolopromocionales.com/regalos-corporativos/,true,,15,,,A_INDEXABLE,
https://www.kronosolopromocionales.com/articulos-promocionales/,commercial,true,200,true,true,true,true,https://www.kronosolopromocionales.com/articulos-promocionales/,true,,8,,,A_INDEXABLE,
https://www.kronosolopromocionales.com/material-publicitario/,commercial,true,200,true,true,true,true,https://www.kronosolopromocionales.com/material-publicitario/,true,,1,,,A_INDEXABLE,
https://www.kronosolopromocionales.com/merchandising-corporativo/,commercial,true,200,true,true,true,true,https://www.kronosolopromocionales.com/merchandising-corporativo/,true,,8,,,A_INDEXABLE,
https://www.kronosolopromocionales.com/parlantes-bluetooth/,commercial,true,200,true,true,true,true,https://www.kronosolopromocionales.com/parlantes-bluetooth/,true,,0,,,A_INDEXABLE,
https://www.kronosolopromocionales.com/audifonos-promocionales/,commercial,true,200,true,true,true,true,https://www.kronosolopromocionales.com/audifonos-promocionales/,true,,1,,,A_INDEXABLE,
https://www.kronosolopromocionales.com/soportes-para-celular/,commercial,true,200,true,true,true,true,https://www.kronosolopromocionales.com/soportes-para-celular/,true,,0,,,A_INDEXABLE,
https://www.kronosolopromocionales.com/categorias/precio-bomba/,category,true,200,true,true,true,true,https://www.kronosolopromocionales.com/categorias/precio-bomba/,true,,1,,,A_INDEXABLE,productCount=118
https://www.kronosolopromocionales.com/categorias/antiestres/,category,true,200,true,true,true,true,https://www.kronosolopromocionales.com/categorias/antiestres/,true,,2,,,A_INDEXABLE,productCount=18
https://www.kronosolopromocionales.com/categorias/antimicrobianos/,category,true,200,true,true,true,true,https://www.kronosolopromocionales.com/categorias/antimicrobianos/,true,,7,,,A_INDEXABLE,productCount=10
https://www.kronosolopromocionales.com/categorias/boligrafos-publicitarios/,category,true,200,true,true,true,true,https://www.kronosolopromocionales.com/categorias/boligrafos-publicitarios/,true,,30,,,A_INDEXABLE,productCount=129
https://www.kronosolopromocionales.com/categorias/reflectivos/,category,true,200,true,true,true,true,https://www.kronosolopromocionales.com/categorias/reflectivos/,true,,0,,,A_INDEXABLE,productCount=6
https://www.kronosolopromocionales.com/categorias/automovil/,category,true,200,true,true,true,true,https://www.kronosolopromocionales.com/categorias/automovil/,true,,0,,,A_INDEXABLE,productCount=34
https://www.kronosolopromocionales.com/categorias/bar-y-vino/,category,true,200,true,true,true,true,https://www.kronosolopromocionales.com/categorias/bar-y-vino/,true,,2,,,A_INDEXABLE,productCount=49
https://www.kronosolopromocionales.com/categorias/bicicleta/,category,true,200,true,true,true,true,https://www.kronosolopromocionales.com/categorias/bicicleta/,true,,0,,,A_INDEXABLE,productCount=21
https://www.kronosolopromocionales.com/categorias/calculadoras/,category,true,200,true,true,true,true,https://www.kronosolopromocionales.com/categorias/calculadoras/,true,,0,,pocos_productos,A_INDEXABLE,productCount=4
