url,clicks,impressions,ctr,position,slug,product_exists,is_ai_optimized,redirect_target,notes
https://www.kronosolopromocionales.com/productos/juego-ruleta-nuevo-13331/,2,11,18.18%,8.64,juego-ruleta-nuevo-13331,true,true,,""
https://www.kronosolopromocionales.com/productos/calendario-perpetuo-wood-9983/,2,5,40%,10.4,calendario-perpetuo-wood-9983,true,true,,""
https://www.kronosolopromocionales.com/productos/set-destornillador-pistol/,1,28,3.57%,5.39,set-destornillador-pistol,false,n/a,/categorias/herramientas/,"Slug antiguo, ya redirigido a /categorias/herramientas/"
https://www.kronosolopromocionales.com/productos/llavero-bamboo-round-13494/,1,10,10%,6.9,llavero-bamboo-round-13494,true,true,,""
https://www.kronosolopromocionales.com/productos/cargador-inalambrico-bamboo-clock-13404/,1,5,20%,4.2,cargador-inalambrico-bamboo-clock-13404,true,true,,""
https://www.kronosolopromocionales.com/productos/audifonos-bluetooth-soccer-ball-13385/,1,5,20%,4.8,audifonos-bluetooth-soccer-ball-13385,true,true,,""
https://www.kronosolopromocionales.com/productos/gel-antibacterial-300ml-8548/,1,5,20%,18.6,gel-antibacterial-300ml-8548,true,true,,""
https://www.kronosolopromocionales.com/productos/cargador-inalambrico-bamboo-square-oferta-9979/,1,4,25%,2.75,cargador-inalambrico-bamboo-square-oferta-9979,true,true,,""
https://www.kronosolopromocionales.com/productos/set-de-herramientas-en-madera-9534/,1,4,25%,3.5,set-de-herramientas-en-madera-9534,true,true,,""
https://www.kronosolopromocionales.com/productos/set-de-vino-en-bambu-ii-9719/,1,4,25%,6,set-de-vino-en-bambu-ii-9719,true,true,,""
https://www.kronosolopromocionales.com/productos/speaker-bluetooth-beach-35-boompods-13213/,1,4,25%,6.5,speaker-bluetooth-beach-35-boompods-13213,true,true,,""
https://www.kronosolopromocionales.com/productos/set-flok-urban-business-10901/,1,3,33.33%,3.33,set-flok-urban-business-10901,true,true,,""
https://www.kronosolopromocionales.com/productos/calendario-bamboo-13185/,1,3,33.33%,6,calendario-bamboo-13185,true,true,,""
https://www.kronosolopromocionales.com/productos/cobija-pillow-13501/,1,3,33.33%,6,cobija-pillow-13501,true,true,,""
https://www.kronosolopromocionales.com/productos/mezclador-coffee-mixer-10946/,1,3,33.33%,6,mezclador-coffee-mixer-10946,true,true,,""
https://www.kronosolopromocionales.com/productos/llavero-casco-8753/,1,3,33.33%,27,llavero-casco-8753,true,true,,""
https://www.kronosolopromocionales.com/productos/mini-monedero-en-silicona-6241/,1,2,50%,6,mini-monedero-en-silicona-6241,true,true,,""
https://www.kronosolopromocionales.com/productos/resaltadores-jeringa-nuevo-13262/,1,2,50%,6.5,resaltadores-jeringa-nuevo-13262,true,true,,""
https://www.kronosolopromocionales.com/productos/boligrafo-medic-7022/,1,2,50%,7,boligrafo-medic-7022,true,true,,""
https://www.kronosolopromocionales.com/productos/set-de-cubiertos-en-acero-11096/,1,2,50%,7,set-de-cubiertos-en-acero-11096,true,true,,""
https://www.kronosolopromocionales.com/productos/mug-sparkle-296ml-13188/,1,2,50%,12,mug-sparkle-296ml-13188,true,true,,""
https://www.kronosolopromocionales.com/productos/protector-solar-para-carro-sunshade-10312/,1,2,50%,22,protector-solar-para-carro-sunshade-10312,true,true,,""
https://www.kronosolopromocionales.com/productos/paraguas-easyroll-23-13285/,1,1,100%,1,paraguas-easyroll-23-13285,true,true,,""
https://www.kronosolopromocionales.com/productos/tajalapiz-con-borrador-run-nuevo-13551/,1,1,100%,2,tajalapiz-con-borrador-run-nuevo-13551,true,true,,""
https://www.kronosolopromocionales.com/productos/joyero-eco-bamboo-10439/,1,1,100%,4,joyero-eco-bamboo-10439,true,true,,""
https://www.kronosolopromocionales.com/productos/alcancia-cerdito-produccion-nacional-5412/,1,1,100%,5,alcancia-cerdito-produccion-nacional-5412,true,true,,""
https://www.kronosolopromocionales.com/productos/boligrafo-multi-metal-4-1-13176/,1,1,100%,8,boligrafo-multi-metal-4-1-13176,true,true,,""
https://www.kronosolopromocionales.com/productos/bolsa-plegable-gibson-10187/,1,1,100%,8,bolsa-plegable-gibson-10187,true,true,,""
https://www.kronosolopromocionales.com/productos/speaker-bluetooth-onyx-oferta-10135/,1,1,100%,9,speaker-bluetooth-onyx-oferta-10135,true,true,,""
https://www.kronosolopromocionales.com/productos/mini-monedero-en-pvc-produccion-nacional-6237/,1,1,100%,11,mini-monedero-en-pvc-produccion-nacional-6237,true,true,,""
https://www.kronosolopromocionales.com/productos/canguro-compacto-master-ocean-10962/,1,1,100%,13,canguro-compacto-master-ocean-10962,true,true,,""
https://www.kronosolopromocionales.com/productos/rastreador-airtag-vibe-13204/,1,1,100%,14,rastreador-airtag-vibe-13204,true,true,,""
https://www.kronosolopromocionales.com/productos/portacomida-produccion-nacional/,0,36,0%,5.42,portacomida-produccion-nacional,false,n/a,/productos/portacomida-produccion-nacional-4857/,"Slug antiguo, ya redirigido a /productos/portacomida-produccion-nacional-4857/"
https://www.kronosolopromocionales.com/productos/canguro-dior/,0,31,0%,8.55,canguro-dior,false,n/a,/productos/canguro-dior-9823/,"Slug antiguo, ya redirigido a /productos/canguro-dior-9823/"
https://www.kronosolopromocionales.com/productos/bola-para-mascotas/,0,28,0%,4.32,bola-para-mascotas,false,n/a,/productos/bola-para-mascotas-10979/,"Slug antiguo, ya redirigido a /productos/bola-para-mascotas-10979/"
https://www.kronosolopromocionales.com/productos/copa-para-vino-7oz-produccion-nacional/,0,24,0%,7.08,copa-para-vino-7oz-produccion-nacional,false,n/a,/productos/copa-para-vino-7oz-produccion-nacional-2007/,"Slug antiguo, ya redirigido a /productos/copa-para-vino-7oz-produccion-nacional-2007/"
https://www.kronosolopromocionales.com/productos/aplausometro-redondo-produccion-nacional/,0,19,0%,5.53,aplausometro-redondo-produccion-nacional,false,n/a,/productos/aplausometro-redondo-produccion-nacional-5685/,"Slug antiguo, ya redirigido a /productos/aplausometro-redondo-produccion-nacional-5685/"
https://www.kronosolopromocionales.com/productos/resaltador-magico-en-cera/,0,17,0%,6.12,resaltador-magico-en-cera,false,n/a,/productos/resaltador-magico-en-cera-4672/,"Slug antiguo, ya redirigido a /productos/resaltador-magico-en-cera-4672/"
https://www.kronosolopromocionales.com/productos/speaker-bluetooth-con-lampara-oferta/,0,16,0%,6.25,speaker-bluetooth-con-lampara-oferta,false,n/a,/productos/speaker-bluetooth-con-lampara-oferta-9579/,"Slug antiguo, ya redirigido a /productos/speaker-bluetooth-con-lampara-oferta-9579/"
https://www.kronosolopromocionales.com/productos/sticky-set-truck-nuevo-13280/,0,15,0%,44.47,sticky-set-truck-nuevo-13280,true,true,,""
https://www.kronosolopromocionales.com/productos/speaker-bluetooth-barack/,0,14,0%,5.64,speaker-bluetooth-barack,false,n/a,/productos/speaker-bluetooth-barack-8135/,"Slug antiguo, ya redirigido a /productos/speaker-bluetooth-barack-8135/"
https://www.kronosolopromocionales.com/productos/pano-en-microfibra/,0,14,0%,7.5,pano-en-microfibra,false,n/a,,"ALERTA: URL indexada sin producto ni redirect — revisar manualmente"
https://www.kronosolopromocionales.com/productos/vaso-tapa-plastico-14-oz-produccion-nacional/,0,14,0%,9.14,vaso-tapa-plastico-14-oz-produccion-nacional,false,n/a,,"ALERTA: URL indexada sin producto ni redirect — revisar manualmente"
https://www.kronosolopromocionales.com/productos/linterna-cob-power/,0,13,0%,7.31,linterna-cob-power,false,n/a,/productos/linterna-cob-power-9544/,"Slug antiguo, ya redirigido a /productos/linterna-cob-power-9544/"
https://www.kronosolopromocionales.com/productos/llavero-ml-356/,0,12,0%,5.42,llavero-ml-356,false,n/a,/productos/llavero-ml-356-8039/,"Slug antiguo, ya redirigido a /productos/llavero-ml-356-8039/"
https://www.kronosolopromocionales.com/productos/abanico-plegable-frisbee-flexible-7577/,0,12,0%,6.33,abanico-plegable-frisbee-flexible-7577,true,true,,""
https://www.kronosolopromocionales.com/productos/rastreador-airtag-boomtag-nuevo/,0,12,0%,6.83,rastreador-airtag-boomtag-nuevo,false,n/a,/productos/rastreador-airtag-boomtag-nuevo-13210/,"Slug antiguo, ya redirigido a /productos/rastreador-airtag-boomtag-nuevo-13210/"
https://www.kronosolopromocionales.com/productos/banda-elastica-gym-nuevo-13538/,0,11,0%,22.73,banda-elastica-gym-nuevo-13538,true,true,,""
https://www.kronosolopromocionales.com/productos/reloj-inteligente-fyllex-13377/,0,10,0%,3.1,reloj-inteligente-fyllex-13377,true,true,,""
https://www.kronosolopromocionales.com/productos/llavero-destapador-motorbike-13258/,0,10,0%,5.2,llavero-destapador-motorbike-13258,true,true,,""
https://www.kronosolopromocionales.com/productos/set-de-contenedores-x-3-unidades-produccion-nacional/,0,9,0%,4.67,set-de-contenedores-x-3-unidades-produccion-nacional,false,n/a,,"ALERTA: URL indexada sin producto ni redirect — revisar manualmente"
https://www.kronosolopromocionales.com/productos/speaker-bluetooth-barack-8135/,0,8,0%,7.75,speaker-bluetooth-barack-8135,true,true,,""
https://www.kronosolopromocionales.com/productos/floyd-stylus/,0,7,0%,3,floyd-stylus,false,n/a,/productos/floyd-stylus-5837/,"Slug antiguo, ya redirigido a /productos/floyd-stylus-5837/"
https://www.kronosolopromocionales.com/productos/llavero-silver-ml-241-4417/,0,7,0%,5.57,llavero-silver-ml-241-4417,true,true,,""
https://www.kronosolopromocionales.com/productos/lapiz-rojo-check-para-contabilidad-11000/,0,7,0%,8.14,lapiz-rojo-check-para-contabilidad-11000,true,true,,""
