pair_id,source_url,canonical_url,contenido_transferido,contenido_descartado_por_repeticion,evidencia_de_igualdad,criterio_local_canonical,redirect_implementado,sitemap_actualizado,enlaces_internos_actualizados,resultado_final
6051,https://www.kronosolopromocionales.com/productos/mini-libreta-duo-produccion-nacional-6051/,https://www.kronosolopromocionales.com/productos/mini-libreta-duo-produccion-nacional-ver-ref-bolian-6051/,ninguno — sin dato factual exclusivo relevante en la fuente,"features/useCases de la fuente (plantilla genérica sin dato factual nuevo, ya cubierto conceptualmente por el canónico)",misma imagen; sku final compartido 6051; categoryId canónico=produccion-nacional vs fuente=oficina,se mantiene el lado con description + quality_score + last_ai_update reales (contenido final del pipeline de IA) sobre el lado preliminar/plantilla,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
9132,https://www.kronosolopromocionales.com/productos/llavero-pito-con-destapador-precio-bomba-9132/,https://www.kronosolopromocionales.com/productos/llavero-pito-con-destapador-9132/,ninguno — sin dato factual exclusivo relevante en la fuente,"features/useCases de la fuente (plantilla genérica sin dato factual nuevo, ya cubierto conceptualmente por el canónico)",misma imagen; sku final compartido 9132; categoryId canónico=precio-bomba vs fuente=mugs,se mantiene el lado con description + quality_score + last_ai_update reales (contenido final del pipeline de IA) sobre el lado preliminar/plantilla,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
13366,https://www.kronosolopromocionales.com/productos/pito-con-luz-vision-nuevo-13366/,https://www.kronosolopromocionales.com/productos/pito-con-luz-vision-13366/,ninguno — sin dato factual exclusivo relevante en la fuente,"features/useCases de la fuente (plantilla genérica sin dato factual nuevo, ya cubierto conceptualmente por el canónico)",misma imagen; sku final compartido 13366; categoryId canónico=iluminacion vs fuente=variedades,se mantiene el lado con description + quality_score + last_ai_update reales (contenido final del pipeline de IA) sobre el lado preliminar/plantilla,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
9103,https://www.kronosolopromocionales.com/productos/bolsa-en-algodon-corcho-9103/,https://www.kronosolopromocionales.com/productos/bolsa-en-algodon-corcho-135gr-9103/,ninguno — sin dato factual exclusivo relevante en la fuente,"features/useCases de la fuente (plantilla genérica sin dato factual nuevo, ya cubierto conceptualmente por el canónico)",misma imagen; sku final compartido 9103; categoryId canónico=maletines vs fuente=ecologia,se mantiene el lado con description + quality_score + last_ai_update reales (contenido final del pipeline de IA) sobre el lado preliminar/plantilla,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
9725,https://www.kronosolopromocionales.com/productos/sporty-bag-eco-yute-9725/,https://www.kronosolopromocionales.com/productos/sporty-bag-eco-yute-280gr-9725/,ninguno — sin dato factual exclusivo relevante en la fuente,"features/useCases de la fuente (plantilla genérica sin dato factual nuevo, ya cubierto conceptualmente por el canónico)",misma imagen; sku final compartido 9725; categoryId canónico=deportes vs fuente=variedades,se mantiene el lado con description + quality_score + last_ai_update reales (contenido final del pipeline de IA) sobre el lado preliminar/plantilla,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
10422,https://www.kronosolopromocionales.com/productos/bolsa-holt-eco-10422/,https://www.kronosolopromocionales.com/productos/bolsa-holt-eco-120gr-10422/,ninguno — sin dato factual exclusivo relevante en la fuente,"features/useCases de la fuente (plantilla genérica sin dato factual nuevo, ya cubierto conceptualmente por el canónico)",misma imagen; sku final compartido 10422; categoryId canónico=maletines vs fuente=variedades,se mantiene el lado con description + quality_score + last_ai_update reales (contenido final del pipeline de IA) sobre el lado preliminar/plantilla,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
10367,https://www.kronosolopromocionales.com/productos/bolsa-en-algodon-shopper-10367/,https://www.kronosolopromocionales.com/productos/bolsa-en-algodon-shopper-290gr-10367/,ninguno — sin dato factual exclusivo relevante en la fuente,"features/useCases de la fuente (plantilla genérica sin dato factual nuevo, ya cubierto conceptualmente por el canónico)",misma imagen; sku final compartido 10367; categoryId canónico=maletines vs fuente=variedades,se mantiene el lado con description + quality_score + last_ai_update reales (contenido final del pipeline de IA) sobre el lado preliminar/plantilla,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
11039,https://www.kronosolopromocionales.com/productos/sporty-bag-cotton-ii-11039/,https://www.kronosolopromocionales.com/productos/sporty-bag-cotton-180gr-ii-11039/,ninguno — sin dato factual exclusivo relevante en la fuente,"features/useCases de la fuente (plantilla genérica sin dato factual nuevo, ya cubierto conceptualmente por el canónico)",misma imagen; sku final compartido 11039; categoryId canónico=maletines vs fuente=variedades,se mantiene el lado con description + quality_score + last_ai_update reales (contenido final del pipeline de IA) sobre el lado preliminar/plantilla,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
13500,https://www.kronosolopromocionales.com/productos/cosmetiquera-terra-nuevo-13500/,https://www.kronosolopromocionales.com/productos/cosmetiquera-terra-13500/,ninguno — sin dato factual exclusivo relevante en la fuente,"features/useCases de la fuente (plantilla genérica sin dato factual nuevo, ya cubierto conceptualmente por el canónico)",misma imagen; sku final compartido 13500; categoryId canónico=cuidado-personal vs fuente=maletines,se mantiene el lado con description + quality_score + last_ai_update reales (contenido final del pipeline de IA) sobre el lado preliminar/plantilla,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
13253,https://www.kronosolopromocionales.com/productos/mini-bolsa-en-algodon-100gms-nuevo-13253/,https://www.kronosolopromocionales.com/productos/mini-bolsa-en-algodon-100gms-13253/,ninguno — sin dato factual exclusivo relevante en la fuente,"features/useCases de la fuente (plantilla genérica sin dato factual nuevo, ya cubierto conceptualmente por el canónico)",misma imagen; sku final compartido 13253; categoryId canónico=maletines vs fuente=variedades,se mantiene el lado con description + quality_score + last_ai_update reales (contenido final del pipeline de IA) sobre el lado preliminar/plantilla,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
