url,last_crawled,matched_locally,type,in_sitemap,internal_links_in,content_score,tier,action
https://www.kronosolopromocionales.com/articulos-promocionales/,1969-12-31,true,commercial,true,8,,P4,Monitorear; probablemente sea cuestión de tiempo de rastreo
https://www.kronosolopromocionales.com/blog/,1969-12-31,true,commercial,true,3,,P4,Monitorear; probablemente sea cuestión de tiempo de rastreo
https://www.kronosolopromocionales.com/blog/productos-promocionales-baratos-guia-completa/,1969-12-31,true,blog,true,n/d (no fiable),,P4,"Confirmar manualmente que aparece en al menos una grilla/listado (relacionados, categoría, blog index)"
https://www.kronosolopromocionales.com/catalogos-digitales/,1969-12-31,true,commercial,true,4,,P4,Monitorear; probablemente sea cuestión de tiempo de rastreo
https://www.kronosolopromocionales.com/categorias/antimicrobianos/,1969-12-31,true,category,true,7,,P4,Monitorear; probablemente sea cuestión de tiempo de rastreo
https://www.kronosolopromocionales.com/categorias/bar-y-vino/,1969-12-31,true,category,true,2,,P3,Monitorear; probablemente sea cuestión de tiempo de rastreo
https://www.kronosolopromocionales.com/categorias/bicicleta/,1969-12-31,true,category,true,0,,P1,Añadir al menos 1 enlace interno contextual desde una página con autoridad
https://www.kronosolopromocionales.com/categorias/deportes/,1969-12-31,true,category,true,3,,P4,Monitorear; probablemente sea cuestión de tiempo de rastreo
https://www.kronosolopromocionales.com/categorias/ecologia/,1969-12-31,true,category,true,16,,P4,Monitorear; probablemente sea cuestión de tiempo de rastreo
https://www.kronosolopromocionales.com/categorias/hogar/,1969-12-31,true,category,true,2,,P3,Monitorear; probablemente sea cuestión de tiempo de rastreo
https://www.kronosolopromocionales.com/categorias/novedades/,1969-12-31,true,category,true,19,,P4,Monitorear; probablemente sea cuestión de tiempo de rastreo
https://www.kronosolopromocionales.com/categorias/paraguas/,1969-12-31,true,category,true,0,,P1,Añadir al menos 1 enlace interno contextual desde una página con autoridad
https://www.kronosolopromocionales.com/categorias/precio-bomba/,1969-12-31,true,category,true,1,,P3,Monitorear; probablemente sea cuestión de tiempo de rastreo
https://www.kronosolopromocionales.com/categorias/reflectivos/,1969-12-31,true,category,true,0,,P1,Añadir al menos 1 enlace interno contextual desde una página con autoridad
https://www.kronosolopromocionales.com/contacto/,1969-12-31,true,commercial,true,3,,P4,Monitorear; probablemente sea cuestión de tiempo de rastreo
https://www.kronosolopromocionales.com/material-publicitario/,1969-12-31,true,commercial,true,1,,P3,Monitorear; probablemente sea cuestión de tiempo de rastreo
https://www.kronosolopromocionales.com/merchandising-corporativo/,1969-12-31,true,commercial,true,8,,P4,Monitorear; probablemente sea cuestión de tiempo de rastreo
https://www.kronosolopromocionales.com/nosotros/,1969-12-31,true,legal,true,1,,P3,Monitorear; probablemente sea cuestión de tiempo de rastreo
https://www.kronosolopromocionales.com/politica-de-privacidad/,1969-12-31,true,legal,true,0,,P1,Añadir al menos 1 enlace interno contextual desde una página con autoridad
https://www.kronosolopromocionales.com/productos-promocionales-ecuador/guayaquil/,1969-12-31,true,city,true,0,,P1,Añadir al menos 1 enlace interno contextual desde una página con autoridad
https://www.kronosolopromocionales.com/productos-promocionales-ecuador/quito/,1969-12-31,true,city,true,0,,P1,Añadir al menos 1 enlace interno contextual desde una página con autoridad
https://www.kronosolopromocionales.com/productos/abanico-en-madera-11142/,1969-12-31,true,product,true,n/d (no fiable),100,P4,"Confirmar manualmente que aparece en al menos una grilla/listado (relacionados, categoría, blog index)"
https://www.kronosolopromocionales.com/productos/audifonos-bluetooth-cork-10425/,1969-12-31,true,product,true,n/d (no fiable),100,P4,"Confirmar manualmente que aparece en al menos una grilla/listado (relacionados, categoría, blog index)"
https://www.kronosolopromocionales.com/productos/balde-multiusos-10281/,1969-12-31,true,product,true,n/d (no fiable),100,P4,"Confirmar manualmente que aparece en al menos una grilla/listado (relacionados, categoría, blog index)"
https://www.kronosolopromocionales.com/productos/bola-antiestres-tricolor-5877/,1969-12-31,true,product,true,n/d (no fiable),100,P4,"Confirmar manualmente que aparece en al menos una grilla/listado (relacionados, categoría, blog index)"
https://www.kronosolopromocionales.com/productos/boligrafo-cork-stand-13462/,1969-12-31,true,product,true,n/d (no fiable),100,P4,"Confirmar manualmente que aparece en al menos una grilla/listado (relacionados, categoría, blog index)"
