url,last_crawled,matched_locally,local_type,local_robots_index,verdict
https://www.kronosolopromocionales.com/productos/ventura-stylus-4-1-10234-3655/,2026-07-10,true,redirect,n/a,correcto_es_un_redirect_301_gsc_solo_lo_agrupo_bajo_noindex
https://www.kronosolopromocionales.com/productos/ventura-stylus-4-1-10234/,2026-07-10,true,product,false,confirmado_noindex_intencional_local
https://www.kronosolopromocionales.com/productos/boligrafo-dormin-bamboo-10839/,2026-07-09,true,product,false,confirmado_noindex_intencional_local
https://www.kronosolopromocionales.com/productos/boligrafo-dormin-bamboo-10839/,2026-07-09,true,product,false,confirmado_noindex_intencional_local
https://www.kronosolopromocionales.com/productos/reloj-digital-bowen-oferta-9789-3938/,2026-07-08,true,redirect,n/a,correcto_es_un_redirect_301_gsc_solo_lo_agrupo_bajo_noindex
https://www.kronosolopromocionales.com/productos/reloj-digital-bowen-oferta-9789/,2026-07-08,true,product,false,confirmado_noindex_intencional_local
https://www.kronosolopromocionales.com/productos/set-de-herramientas-scout-10287-3780/,2026-07-08,true,redirect,n/a,correcto_es_un_redirect_301_gsc_solo_lo_agrupo_bajo_noindex
https://www.kronosolopromocionales.com/productos/set-de-herramientas-scout-10287/,2026-07-08,true,product,false,confirmado_noindex_intencional_local
https://www.kronosolopromocionales.com/productos/portos-oferta-7352-3696/,2026-07-05,true,redirect,n/a,correcto_es_un_redirect_301_gsc_solo_lo_agrupo_bajo_noindex
https://www.kronosolopromocionales.com/productos/portos-oferta-7352/,2026-07-05,true,product,false,confirmado_noindex_intencional_local
https://www.kronosolopromocionales.com/productos/alcancia-cow-oferta-7595-2499/,2026-07-02,true,redirect,n/a,correcto_es_un_redirect_301_gsc_solo_lo_agrupo_bajo_noindex
https://www.kronosolopromocionales.com/productos/alcancia-cow-oferta-7595/,2026-07-02,true,product,false,confirmado_noindex_intencional_local
https://www.kronosolopromocionales.com/productos/trolley-morral-backpack-senior-urban-travel-10168-3470/,2026-06-24,true,redirect,n/a,correcto_es_un_redirect_301_gsc_solo_lo_agrupo_bajo_noindex
https://www.kronosolopromocionales.com/productos/trolley-morral-backpack-senior-urban-travel-10168/,2026-06-24,true,product,false,confirmado_noindex_intencional_local
https://www.kronosolopromocionales.com/productos/lapiz-metallic-oferta-8507-3720/,2026-06-16,true,redirect,n/a,correcto_es_un_redirect_301_gsc_solo_lo_agrupo_bajo_noindex
https://www.kronosolopromocionales.com/productos/mug-doble-pared-en-acero-ii-16oz-1342-3552/,2026-06-16,true,redirect,n/a,correcto_es_un_redirect_301_gsc_solo_lo_agrupo_bajo_noindex
https://www.kronosolopromocionales.com/productos/set-de-destornilladores-everest-7991/,2026-06-14,true,product,true,CONTRADICCION_local_indexable_hoy_pero_gsc_vio_noindex_probable_crawl_desactualizado
https://www.kronosolopromocionales.com/productos/ventilador-hook-10472-2639/,2026-06-14,true,redirect,n/a,correcto_es_un_redirect_301_gsc_solo_lo_agrupo_bajo_noindex
https://www.kronosolopromocionales.com/productos/aplausometro-manos-produccion-nacional-6034/,2026-06-13,true,product,true,CONTRADICCION_local_indexable_hoy_pero_gsc_vio_noindex_probable_crawl_desactualizado
https://www.kronosolopromocionales.com/productos/gorra-beisbol-469-3932/,2026-06-12,true,redirect,n/a,correcto_es_un_redirect_301_gsc_solo_lo_agrupo_bajo_noindex
https://www.kronosolopromocionales.com/productos/botilito-en-aluminio-parsons-700ml-8758/,2026-06-11,true,product,true,CONTRADICCION_local_indexable_hoy_pero_gsc_vio_noindex_probable_crawl_desactualizado
https://www.kronosolopromocionales.com/productos/botilito-metalico-jupiter-500-ml-8514-3572/,2026-06-11,true,redirect,n/a,correcto_es_un_redirect_301_gsc_solo_lo_agrupo_bajo_noindex
https://www.kronosolopromocionales.com/productos/set-de-herramientas-apache-10288-3781/,2026-06-10,true,redirect,n/a,correcto_es_un_redirect_301_gsc_solo_lo_agrupo_bajo_noindex
https://www.kronosolopromocionales.com/productos/sticky-set-cubik-9974/,2026-06-08,true,product,true,CONTRADICCION_local_indexable_hoy_pero_gsc_vio_noindex_probable_crawl_desactualizado
https://www.kronosolopromocionales.com/productos/reloj-digital-utopus-11124/,2026-06-07,true,product,true,CONTRADICCION_local_indexable_hoy_pero_gsc_vio_noindex_probable_crawl_desactualizado
https://www.kronosolopromocionales.com/productos/candado-de-clave-metalico-6765/,2026-06-07,true,product,true,CONTRADICCION_local_indexable_hoy_pero_gsc_vio_noindex_probable_crawl_desactualizado
https://www.kronosolopromocionales.com/productos/aston-stylus-metalico-7852-3701/,2026-06-06,true,redirect,n/a,correcto_es_un_redirect_301_gsc_solo_lo_agrupo_bajo_noindex
https://www.kronosolopromocionales.com/productos/set-montgomery-boligrafo-y-roller-oferta-7938-3706/,2026-06-06,true,redirect,n/a,correcto_es_un_redirect_301_gsc_solo_lo_agrupo_bajo_noindex
https://www.kronosolopromocionales.com/productos/gel-antibacterial-transparente-produccion-nacional-9452/,2026-06-05,true,product,true,CONTRADICCION_local_indexable_hoy_pero_gsc_vio_noindex_probable_crawl_desactualizado
https://www.kronosolopromocionales.com/productos/organizador-de-viaje-swiss-peak-kool-9610-3460/,2026-06-05,true,redirect,n/a,correcto_es_un_redirect_301_gsc_solo_lo_agrupo_bajo_noindex
