pair_id,source_url,canonical_url,contenido_transferido,contenido_descartado_por_repeticion,evidencia_de_igualdad,criterio_local_canonical,redirect_implementado,sitemap_actualizado,enlaces_internos_actualizados,resultado_final
9217,https://www.kronosolopromocionales.com/productos/paraguas-23-roma-urban-travel-9217/,https://www.kronosolopromocionales.com/productos/paraguas-23-9217/,ninguno — sin dato factual exclusivo relevante en la fuente,"features/useCases de la fuente (plantilla genérica sin dato factual nuevo, ya cubierto conceptualmente por el canónico)",misma imagen; sku final compartido 9217; categoryId canónico=paraguas vs fuente=paraguas,se mantiene el lado con description + quality_score + last_ai_update reales (contenido final del pipeline de IA) sobre el lado preliminar/plantilla,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
9218,https://www.kronosolopromocionales.com/productos/paraguas-27-gentle-urban-travel-9218/,https://www.kronosolopromocionales.com/productos/paraguas-27-9218/,ninguno — sin dato factual exclusivo relevante en la fuente,"features/useCases de la fuente (plantilla genérica sin dato factual nuevo, ya cubierto conceptualmente por el canónico)",misma imagen; sku final compartido 9218; categoryId canónico=paraguas vs fuente=paraguas,se mantiene el lado con description + quality_score + last_ai_update reales (contenido final del pipeline de IA) sobre el lado preliminar/plantilla,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
9699,https://www.kronosolopromocionales.com/productos/mug-eco-chic-bambu-disfruta-tu-cafe-con-estilo-sustentable-9699/,https://www.kronosolopromocionales.com/productos/mug-metalico-con-bamboo-500ml-9699/,ninguno (descartado por política) — la fuente contenía reclamos de disponibilidad no verificados y/o referencia de mercado incorrecta (no Ecuador); no se fusiona ningún dato de la fuente,todo el contenido de la fuente (ver nota de política),misma imagen; sku final compartido 9699; categoryId canónico=mugs vs fuente=automovil,se mantiene el lado sin reclamos de disponibilidad fabricados ni referencias de mercado incorrectas,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
7518,https://www.kronosolopromocionales.com/productos/agarre-total-flexi-tu-copiloto-ideal-7518/,https://www.kronosolopromocionales.com/productos/soporte-para-movil-flexi-7518/,ninguno (descartado por política) — la fuente contenía reclamos de disponibilidad no verificados y/o referencia de mercado incorrecta (no Ecuador); no se fusiona ningún dato de la fuente,todo el contenido de la fuente (ver nota de política),misma imagen; sku final compartido 7518; categoryId canónico=automovil vs fuente=automovil,se mantiene el lado sin reclamos de disponibilidad fabricados ni referencias de mercado incorrectas,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
7776,https://www.kronosolopromocionales.com/productos/no-pierdas-mas-tiempo-encuentra-tus-llaves-con-keyfind-7776/,https://www.kronosolopromocionales.com/productos/localizador-de-llaves-7776/,ninguno (descartado por política) — la fuente contenía reclamos de disponibilidad no verificados y/o referencia de mercado incorrecta (no Ecuador); no se fusiona ningún dato de la fuente,todo el contenido de la fuente (ver nota de política),misma imagen; sku final compartido 7776; categoryId canónico=tecnologia vs fuente=automovil,se mantiene el lado sin reclamos de disponibilidad fabricados ni referencias de mercado incorrectas,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
9080,https://www.kronosolopromocionales.com/productos/pilot-grip-tu-copiloto-perfecto-9080/,https://www.kronosolopromocionales.com/productos/soporte-para-moviles-pilot-9080/,ninguno (descartado por política) — la fuente contenía reclamos de disponibilidad no verificados y/o referencia de mercado incorrecta (no Ecuador); no se fusiona ningún dato de la fuente,todo el contenido de la fuente (ver nota de política),misma imagen; sku final compartido 9080; categoryId canónico=automovil vs fuente=automovil,se mantiene el lado sin reclamos de disponibilidad fabricados ni referencias de mercado incorrectas,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
1442,https://www.kronosolopromocionales.com/productos/escudo-solar-auto-frescura-y-proteccion-para-tu-viaje-1442/,https://www.kronosolopromocionales.com/productos/protector-solar-para-carro-1442/,ninguno (descartado por política) — la fuente contenía reclamos de disponibilidad no verificados y/o referencia de mercado incorrecta (no Ecuador); no se fusiona ningún dato de la fuente,todo el contenido de la fuente (ver nota de política),misma imagen; sku final compartido 1442; categoryId canónico=automovil vs fuente=automovil,se mantiene el lado sin reclamos de disponibilidad fabricados ni referencias de mercado incorrectas,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
7410,https://www.kronosolopromocionales.com/productos/turboclean-mini-el-aspirador-imbatible-para-tu-auto-7410/,https://www.kronosolopromocionales.com/productos/aspiradora-para-carro-7410/,ninguno (descartado por política) — la fuente contenía reclamos de disponibilidad no verificados y/o referencia de mercado incorrecta (no Ecuador); no se fusiona ningún dato de la fuente,todo el contenido de la fuente (ver nota de política),misma imagen; sku final compartido 7410; categoryId canónico=automovil vs fuente=automovil,se mantiene el lado sin reclamos de disponibilidad fabricados ni referencias de mercado incorrectas,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
9364,https://www.kronosolopromocionales.com/productos/ecologica-vita-bolsa-reutilizable-hecha-en-mexico-9364/,https://www.kronosolopromocionales.com/productos/bolsa-en-cambrel-multiusos-vita-prod-nacional-9364/,ninguno (descartado por política) — la fuente contenía reclamos de disponibilidad no verificados y/o referencia de mercado incorrecta (no Ecuador); no se fusiona ningún dato de la fuente,todo el contenido de la fuente (ver nota de política),misma imagen; sku final compartido 9364; categoryId canónico=automovil vs fuente=automovil,se mantiene el lado sin reclamos de disponibilidad fabricados ni referencias de mercado incorrectas,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
9333,https://www.kronosolopromocionales.com/productos/descanso-tricolor-cojin-de-viaje-3-en-1-9333/,https://www.kronosolopromocionales.com/productos/cojin-de-viaje-triple-uso-produccion-nacional-9333/,ninguno (descartado por política) — la fuente contenía reclamos de disponibilidad no verificados y/o referencia de mercado incorrecta (no Ecuador); no se fusiona ningún dato de la fuente,todo el contenido de la fuente (ver nota de política),misma imagen; sku final compartido 9333; categoryId canónico=automovil vs fuente=automovil,se mantiene el lado sin reclamos de disponibilidad fabricados ni referencias de mercado incorrectas,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
