source_url,target_url,classification_before,validation_result,matching_fields,different_fields,redirect_added,removed_from_sitemap,internal_links_updated,final_status,notes
https://www.kronosolopromocionales.com/productos/speaker-bluetooth-beach-35-boompods-nuevo-13213/,https://www.kronosolopromocionales.com/productos/speaker-bluetooth-beach-35-boompods-13213/,EXACT_DUPLICATE,PASSED,"categoryId=tecnologia; images[0] identical; normalized name identical; is_ai_optimized=true en ambos antes de quitar la fuente",ninguna diferencia material — features/useCases de la fuente son texto genérico de plantilla sin datos exclusivos,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED,"quality_score de la fuente: undefined (nunca pasó por el pipeline de enriquecimiento); destino: 100"
https://www.kronosolopromocionales.com/productos/rastreador-airtag-boomtag-nuevo-13210/,https://www.kronosolopromocionales.com/productos/rastreador-airtag-boomtag-13210/,EXACT_DUPLICATE,PASSED,"categoryId=tecnologia; images[0] identical; normalized name identical",ninguna diferencia material — mismo patrón de plantilla genérica,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED,"Se detectó y corrigió una cadena preexistente: public/_redirects ya tenía /productos/rastreador-airtag-boomtag-nuevo (sin ID) -> este mismo slug fuente. Se repuntó ese redirect directo al target final para evitar un salto doble."
https://www.kronosolopromocionales.com/productos/rastreador-airtag-boomcard-nuevo-13211/,https://www.kronosolopromocionales.com/productos/rastreador-airtag-boomcard-13211/,EXACT_DUPLICATE,PASSED,"categoryId=tecnologia; images[0] identical; normalized name identical",ninguna diferencia material,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED,"quality_score fuente: undefined; destino: 100"
https://www.kronosolopromocionales.com/productos/audifonos-bluetooth-anc-nuevo-13212/,https://www.kronosolopromocionales.com/productos/audifonos-bluetooth-anc-13212/,EXACT_DUPLICATE,PASSED,"categoryId=tecnologia; images[0] identical; normalized name identical",ninguna diferencia material,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED,"quality_score fuente: undefined; destino: 100"
https://www.kronosolopromocionales.com/productos/resaltadores-jeringa-nuevo-13262/,https://www.kronosolopromocionales.com/productos/resaltadores-jeringa-13262/,EXACT_DUPLICATE,PASSED,"categoryId=escritura; images[0] identical; normalized name identical",ninguna diferencia material,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED,"quality_score fuente: undefined; destino: 100"
https://www.kronosolopromocionales.com/productos/boligrafo-scroll-nuevo-13294/,https://www.kronosolopromocionales.com/productos/boligrafo-scroll-13294/,EXACT_DUPLICATE,PASSED,"categoryId=escritura; images[0] identical; normalized name identical",ninguna diferencia material,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED,"quality_score fuente: undefined; destino: 100"
https://www.kronosolopromocionales.com/productos/bbq-grill-soccer-cook-nuevo-13202/,https://www.kronosolopromocionales.com/productos/bbq-grill-soccer-cook-13202/,EXACT_DUPLICATE,PASSED,"categoryId=hogar; images[0] identical; normalized name identical",ninguna diferencia material,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED,"quality_score fuente: undefined; destino: 100"
https://www.kronosolopromocionales.com/productos/masajeador-hyper-eco-nuevo-13338/,https://www.kronosolopromocionales.com/productos/masajeador-hyper-eco-13338/,EXACT_DUPLICATE,PASSED,"categoryId=cuidado-personal; images[0] identical; normalized name identical",ninguna diferencia material,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED,"quality_score fuente: undefined; destino: 100"
https://www.kronosolopromocionales.com/productos/pastillero-radion-nuevo-13332/,https://www.kronosolopromocionales.com/productos/pastillero-radion-13332/,EXACT_DUPLICATE,PASSED,"categoryId=cuidado-personal; images[0] identical; normalized name identical",ninguna diferencia material,true,false (la fuente ya tenía is_ai_optimized=false y nunca estuvo en el sitemap),n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED,"Único caso donde la fuente ya era noindex antes del cambio; el redirect igual se agrega porque la URL sigue siendo alcanzable directamente."
https://www.kronosolopromocionales.com/productos/soporte-para-celular-pop-it-nuevo-13320/,https://www.kronosolopromocionales.com/productos/soporte-para-celular-pop-it-13320/,EXACT_DUPLICATE,PASSED,"categoryId=antiestres; images[0] identical; normalized name identical",ninguna diferencia material,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED,"quality_score fuente: undefined; destino: 100"
