url,slug,is_ai_optimized,content_score,quality_flags,existing_quality_score_field,grade,notes
https://www.kronosolopromocionales.com/productos/organizador-multiusos-link-nuevo-13536/,organizador-multiusos-link-nuevo-13536,true,100,,100,A,
https://www.kronosolopromocionales.com/productos/candado-de-clave-tsa-nuevo-13537/,candado-de-clave-tsa-nuevo-13537,true,100,,100,A,
https://www.kronosolopromocionales.com/productos/banda-elastica-gym-nuevo-13538/,banda-elastica-gym-nuevo-13538,true,100,,100,A,
https://www.kronosolopromocionales.com/productos/paraguas-kahlo-23-nuevo-13532/,paraguas-kahlo-23-nuevo-13532,true,100,,100,A,
https://www.kronosolopromocionales.com/productos/rastreador-chili-card-nuevo-13533/,rastreador-chili-card-nuevo-13533,true,100,,,A,
https://www.kronosolopromocionales.com/productos/mug-plastico-stash-500-ml-nuevo-13534/,mug-plastico-stash-500-ml-nuevo-13534,true,100,,100,A,
https://www.kronosolopromocionales.com/productos/sticky-set-truck-nuevo-13280/,sticky-set-truck-nuevo-13280,true,100,,100,A,
https://www.kronosolopromocionales.com/productos/audifonos-bluetooth-earshots-boompods-oferta-10589/,audifonos-bluetooth-earshots-boompods-oferta-10589,true,100,,100,A,
https://www.kronosolopromocionales.com/productos/audifonos-bluetooth-bassline-go-boompods-10590/,audifonos-bluetooth-bassline-go-boompods-10590,true,100,,100,A,
https://www.kronosolopromocionales.com/productos/speaker-bluetooth-zero-boompods-10591/,speaker-bluetooth-zero-boompods-10591,true,100,,,A,
https://www.kronosolopromocionales.com/productos/termo-metalico-calypso-chili-500ml-9781/,termo-metalico-calypso-chili-500ml-9781,true,100,,80,A,
https://www.kronosolopromocionales.com/productos/botilito-en-vidrio-calypso-chili-750ml-10653/,botilito-en-vidrio-calypso-chili-750ml-10653,true,100,,80,A,
https://www.kronosolopromocionales.com/productos/morral-backpack-master-ocean-10668/,morral-backpack-master-ocean-10668,true,100,,,A,
https://www.kronosolopromocionales.com/productos/maletin-master-ocean-10669/,maletin-master-ocean-10669,true,100,,100,A,
https://www.kronosolopromocionales.com/productos/canguro-master-ocean-10670/,canguro-master-ocean-10670,true,100,,100,A,
https://www.kronosolopromocionales.com/productos/organizador-de-viaje-master-ocean-10959/,organizador-de-viaje-master-ocean-10959,true,100,,,A,
https://www.kronosolopromocionales.com/productos/organizador-de-viaje-maxi-master-ocean-10960/,organizador-de-viaje-maxi-master-ocean-10960,false,100,,,D,"is_ai_optimized=false — pendiente de enriquecimiento, excluido del sitemap intencionalmente"
https://www.kronosolopromocionales.com/productos/morral-backpack-compacto-master-ocean-10961/,morral-backpack-compacto-master-ocean-10961,true,100,,,A,
https://www.kronosolopromocionales.com/productos/canguro-compacto-master-ocean-10962/,canguro-compacto-master-ocean-10962,true,100,,100,A,
https://www.kronosolopromocionales.com/productos/morral-backpack-antirrobo-chili-9834/,morral-backpack-antirrobo-chili-9834,true,100,,,A,
https://www.kronosolopromocionales.com/productos/boligrafo-metalico-shell-oferta-7326/,boligrafo-metalico-shell-oferta-7326,true,100,,,A,
https://www.kronosolopromocionales.com/productos/skil-oferta-8592/,skil-oferta-8592,true,100,,100,A,
https://www.kronosolopromocionales.com/productos/espejo-cork-ii-10689/,espejo-cork-ii-10689,true,100,,100,A,
https://www.kronosolopromocionales.com/productos/boligrafo-dormin-bamboo-10839/,boligrafo-dormin-bamboo-10839,false,100,,,D,"is_ai_optimized=false — pendiente de enriquecimiento, excluido del sitemap intencionalmente"
https://www.kronosolopromocionales.com/productos/portaboligrafos-lumi-rpet-10811/,portaboligrafos-lumi-rpet-10811,true,100,,,A,
https://www.kronosolopromocionales.com/productos/speaker-bluetooth-clock-eco-10835/,speaker-bluetooth-clock-eco-10835,true,100,,,A,
https://www.kronosolopromocionales.com/productos/puerto-usb-massimo-bamboo-10813/,puerto-usb-massimo-bamboo-10813,true,100,,,A,
https://www.kronosolopromocionales.com/productos/puerto-usb-ruler-bamboo-10814/,puerto-usb-ruler-bamboo-10814,false,100,,,D,"is_ai_optimized=false — pendiente de enriquecimiento, excluido del sitemap intencionalmente"
https://www.kronosolopromocionales.com/productos/set-de-colores-figgy-10697/,set-de-colores-figgy-10697,true,100,,100,A,
https://www.kronosolopromocionales.com/productos/mini-set-de-colores-baby-10698/,mini-set-de-colores-baby-10698,true,100,,100,A,
https://www.kronosolopromocionales.com/productos/bolsa-en-cambrel-baxter-5260/,bolsa-en-cambrel-baxter-5260,true,100,,100,A,
https://www.kronosolopromocionales.com/productos/bolsa-en-yute-wine-oferta-5437/,bolsa-en-yute-wine-oferta-5437,true,100,,100,A,
https://www.kronosolopromocionales.com/productos/boligrafo-mop-like-stylus-10030/,boligrafo-mop-like-stylus-10030,true,100,,100,A,
https://www.kronosolopromocionales.com/productos/mop-medic-stylus-7344/,mop-medic-stylus-7344,true,100,,100,A,
