url,last_crawled,matched_locally,local_type,content_score,duplicate_group,verdict
https://www.kronosolopromocionales.com/productos/aria-5646/,2026-07-11,true,product,90,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/cosmetiquera-travel-produccion-nacional-8720/,2026-07-11,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/morral-backpack-antirrobo-sencillo-armor-ii-10564/,2026-07-11,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/mug-metalico-para-sublimacion-mask-350ml-9973/,2026-07-11,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/ducal-eco-9252/,2026-07-11,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/blog/10-mejores-productos-promocionales-ecuador-imprescindibles/,2026-07-11,true,blog,,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/morral-backpack-bound-10172/,2026-07-11,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/libreta-con-boligrafo-button-reciclable-7207/,2026-07-11,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/llavero-ml-103-1572/,2026-07-11,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/portacelular-plastico-produccion-nacional-8773/,2026-07-11,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/toalla-en-microfibra-multiusos-8688/,2026-07-11,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/blog/buscas-productos-promocionales-en-quito-encuentra-el-ideal-aqui/,2026-07-11,true,blog,,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/bolsa-metalizada-hologram-9154/,2026-07-11,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/mug-lume-350-ml-nuevo-13559/,2026-07-11,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/dispensador-de-bolsas-string-11127/,2026-07-11,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/portatarjetas-ml-275-oferta-4816/,2026-07-10,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/organizador-multiusos-tech-10192/,2026-07-10,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/carpeta-folder-velvet-rpet-10793/,2026-07-10,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/juego-portatil-produccion-nacional-7685/,2026-07-10,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/destapador-electrico-para-vino-3778/,2026-07-10,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/morral-backpack-kazomi-13311/,2026-07-10,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/bolsa-en-algodon-shopper-10367/,2026-07-10,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/botilito-metalico-para-sublimacion-gipsy-700ml-10684/,2026-07-09,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/audifonos-bluetooth-sportbone-9943/,2026-07-08,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/termo-metalico-calypso-chili-500ml-9781/,2026-07-01,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/favicon.ico,2026-06-30,false,,,,no_encontrado_localmente
https://www.kronosolopromocionales.com/productos/paraguas-easyroll-23-13285/,2026-06-28,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/libreta-inker-rpet-13241/,2026-05-25,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/alcancia-piggy-con-portacelular-9661/,2026-05-25,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/blog/enamora-a-tus-clientes-regalos-corporativos-unicos-para-amor-y-amistad/,2026-05-22,true,blog,,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/set-de-resaltadores-perseus-11016/,2026-05-22,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/boligrafo-medic-7022/,2026-05-21,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/protector-para-morral-backpack-emergency-produccion-nacional-6919/,2026-05-21,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/blog/listos-para-carnaval-2026-impulsa-tu-marca-con-productos-promocionales/,2026-05-21,true,blog,,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/cable-multicargador-eco-fast-65w-13365/,2026-05-21,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/tempo-7855/,2026-05-21,true,product,90,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/botilito-plastico-alepy-petg-750ml-oferta-9557/,2026-05-21,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/puerto-usb-hero-10876/,2026-05-21,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/botilito-plastico-napper-800ml-13243/,2026-05-21,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/portatarjetas-becam-9894/,2026-05-21,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/vaso-pitillo-balon-720ml-produccion-nacional-4094/,2026-05-21,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/puerto-usb-rpet-10494/,2026-05-21,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/bolsa-en-algodon-con-fuelle-135gr-7568/,2026-05-21,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/maraca-grande-unidad-produccion-nacional-8370/,2026-05-20,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/set-de-fondue-queralt-10991/,2026-05-20,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/gorra-brixton-urban-travel-10601/,2026-05-20,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/lapiz-neon-153/,2026-05-20,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/soporte-para-movil-chair-13393/,2026-05-20,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/ventura-bamboo-infinity-9918/,2026-05-20,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/mug-metalico-camper-urban-travel-1100-ml-13479/,2026-05-20,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/abrigo-impermeable-3640/,2026-05-20,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/linterna-recargable-head-13227/,2026-05-20,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
https://www.kronosolopromocionales.com/productos/metro-arkitect-eco-10454/,2026-05-20,true,product,100,,sin_señal_local_clara_probable_decision_de_calidad_de_google
